dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	soundname	cog	sd	skewness	kurtosis	utterance	language	stimulus	cog_Bark	sd_bark	sd_distance
d19	nəsasaqen_3	19.1989	7.729749	5598.633	0.010075316	chukchi_d19	4661.033704681433	3532.154592642241	-0.1528263392302564	-1.2640286286510432	3	chukchi	nəsasaqen	18.13359969434143	16.548575063240495	0.9617925663881123
d19	nəsasaqen_4	19.06196	6.476916	5469.434	0.008699494	chukchi_d19	5229.71836498847	2971.248839827451	-0.6224121884620669	-0.5232691578118023	4	chukchi	nəsasaqen	18.80005281424562	15.545730457439614	0.9617925663881123
d19	nəsasaqen_5	19.00986	7.726034	5420.984	0.010207696	chukchi_d19	5074.3558548130695	2438.067752453193	-0.977515826472982	0.4480403739502403	5	chukchi	nəsasaqen	18.624584927987094	14.35527924235294	0.9617925663881123
d19	nəsasaqen_6	19.21581	6.655574	5614.783	0.009019797	chukchi_d19	5363.776882777348	3029.4074418735177	-0.6962663811928631	-0.5003663544816481	6	chukchi	nəsasaqen	18.947803925872076	15.659594156739692	0.9617925663881123
d19	nəsasaqen2_1	7.768423	2.588034	888.2446	0.01898735	chukchi_d19	4104.880668216859	2748.0754981781765	-0.23012205013430767	-1.009600501068642	2	chukchi	nəsasaqen2	17.4064894603207	15.082339327681249	0.9617925663881123
d19	nəsasaqen2_3	19.29973	5.968042	5695.532	0.008232641	chukchi_d19	5360.448125996683	2436.274865462027	-0.8005649172781736	0.5808992094337646	2	chukchi	nəsasaqen2	18.94417495940392	14.350743636071588	0.9617925663881123
d19	nəsasaqen2_4	19.22706	5.71683	5625.549	0.007854272	chukchi_d19	3373.6651356269554	3104.0913524914304	0.1708078775784105	-1.4531726421211302	2	chukchi	nəsasaqen2	16.28477776631651	15.802046754053553	0.9617925663881123
d19	nəsasaqen2_5	18.88073	5.084911	5302.551	0.007700707	chukchi_d19	4836.077425763096	2303.7394076903206	-0.8404944245302319	0.42769820699247374	2	chukchi	nəsasaqen2	18.346059986598586	14.003398059258728	0.9617925663881123
d19	nəsasaqen2_6	18.9632	5.2833310000000004	5377.917	0.007740874	chukchi_d19	4287.475751950291	2743.4733329120354	-0.4460846865787874	-0.8284479335445218	2	chukchi	nəsasaqen2	17.65488335099965	15.072303018730041	0.9617925663881123
d19	sajkok_1	18.58373	8.716651	5038.77	0.011095543	chukchi_d19_saikok	7439.904773656311	2778.3393502645044	-0.6112252658827904	-0.08394471850309992	1	chukchi	sajkok	20.86549627582759	15.147826431609214	0.9617925663881123
d19	sajkok_2	19.00986	7.828311	5420.984	0.010123379	chukchi_d19_saikok	7011.867730573917	2111.436868069214	-0.2876600923207572	1.1613316269163345	2	chukchi	sajkok	20.52297817334468	13.452477188326904	0.9617925663881123
d19	sajkok_3	19.04464	3.891744	5453.284	0.005784131	chukchi_d19_saikok	5159.85293022742	2304.4438960889925	-0.6840958786325017	0.87339142702564	3	chukchi	sajkok	18.721721654351633	14.005309953698667	0.9617925663881123
d19	sajkok_4	19.07924	7.483254	5485.583	0.010427942	chukchi_d19_saikok	5748.9481037370815	1592.5574482397856	-0.18121324887529794	4.5308888028884695	4	chukchi	sajkok	19.35464393668445	11.601288702194966	0.9617925663881123
d20	nəsasaqen_1	21.4678	4.503656	8284.9	0.004771879	chukchi_d20	7329.713462454915	3453.1093344593905	-1.241490935036026	0.3384725567651672	1	chukchi	nəsasaqen	20.779797370961045	16.418688902319214	0.9617925663881123
