dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	delete
d30	осанка_1	19.71372	11.841527	6110.046	0.009520325	
d30	осанка_2	19.15357	4.908399	5555.566	0.005621401	
d30	осанка_3	19.75	9.518102	6147.729	0.010338493	
d30	осанка_cf	19.75	6.040068	6147.729	0.007072734	
d30	посад_1	19.66151	7.832919	6056.213	0.008788368	delete
d30	посад_2	19.75	8.177674	6147.729	0.008932277	delete
d30	посад_3	19.79633	7.987575	6196.179	0.008868774	delete
d30	посад_cf	19.86766	9.568914	6271.545	0.010215386	delete
d30	савва_1	19.80145	8.842024	6201.562	0.009787653	delete
d30	савва_2	19.66675	7.360779	6061.597	0.007691128	delete
d30	савва_3	19.71892	8.96456	6115.43	0.009535999	delete
d30	савва_cf	19.76549	8.402951	6163.879	0.009189703	delete
d30	санки_1	19.88283	6.222062	6287.695	0.007174983	delete
d30	санки_2	19.78093	5.927145	6180.029	0.006624012	delete
d30	санки_3	19.67199	7.787902	6066.98	0.008498905	delete
d30	санки_cf	19.70332	7.590544	6099.28	0.008034826	delete
d30	сахар_1	19.75	6.338927	6147.729	0.007306187	
d30	сахар_2	19.56104	10.042319	5953.931	0.011906993	
d30	сахар_3	19.38805	9.430102	5781.665	0.011230613	
d30	саша_1	19.87778	8.020186	6282.312	0.008708672	delete
d30	саша_2	19.8219	8.988125	6223.096	0.010255879	delete
d30	саша_3	19.72411	10.047731	6120.813	0.010964748	delete
d30	саша_cf	19.74483	10.979071	6142.346	0.011608697	delete
d30	сэндвич_1	19.96806	7.656955	6379.211	0.008837053	delete
d30	сэр_1	19.75517	8.732653	6153.113	0.009847485	delete
d30	сэр_2	19.73707	8.358393	6134.271	0.009879914	delete
d30	сэр_3	19.8168	10.225349	6217.712	0.011435387	delete
d30	сэр_cf	19.66151	8.576778	6056.213	0.009349984	delete
d33	глясе_1	19.18043	10.7821	5581.055	0.01538604	delete
d33	глясе_2	19.45488	9.628954	5847.656	0.013270595	delete
d33	глясе_3	19.41045	10.651424	5803.711	0.014850989	delete
d33	глясе_cf	19.34772	11.209075	5742.188	0.015691687	delete
d33	колбаса_1	18.81611	8.998673	5244.141	0.013053388	delete
d33	колбаса_2	18.74405	10.238088	5179.688	0.015737847	delete
d33	колбаса_3	19.04027	12.80054	5449.219	0.01812806	delete
d33	колбаса_cf	19.23261	11.862582	5630.859	0.016565566	delete
d33	коса_1	19.60073	8.250799	5994.141	0.010687185	
d33	коса_2	19.02767	13.293366	5437.5	0.018767887	
d33	коса_3	18.18055	9.510921	4699.219	0.01325645	
d33	коса_cf	19.73755	8.54898	5994.141	0.011491622	
d33	осанка_1	19.25701	9.5265	5654.297	0.013143384	
d33	осанка_2	19.21424	10.4664	5613.281	0.014571977	
d33	осанка_3	19.43715	7.66336	5830.078	0.008990515	
d33	осанка_cf	19.12162	10.481588	5525.391	0.014273774	
d33	посад_1	19.25092	8.779659	5648.438	0.012610513	delete
d33	посад_2	18.99605	9.929242	5408.203	0.013898877	delete
d33	посад_3	19.54281	9.90627	5935.547	0.013280301	delete
d33	посад_cf	19.56604	8.761528	5958.984	0.011898031	delete
d33	савва_1	19.1989	10.862794	5598.633	0.015054508	delete
d33	савва_2	18.74405	12.755498	5179.688	0.01875883	delete
d33	савва_3	19.25397	10.78072	5651.367	0.011159516	delete
d33	савва_cf	19.57763	10.056333	5970.703	0.013537528	delete
d33	санки_1	19.50193	12.380351	5894.531	0.015964191	delete
d33	санки_2	18.56041	12.107656	5018.555	0.013448472	delete
d33	санки_3	19.83259	6.11195	5355.469	0.008112757	delete
d33	санки_cf	19.0967	10.409097	5501.953	0.014739252	delete
d33	сахар_1	18.51965	11.682293	4983.398	0.017718481	
d33	сахар_2	18.46835	10.802832	4939.453	0.014341803	
d33	сахар_3	18.40625	10.535388	4886.719	0.012685225	
d33	сахар_cf	18.80959	9.961063	5238.281	0.013678235	
d33	саша_1	19.35372	10.246636	5748.047	0.013912622	delete
d33	саша_2	18.81611	9.170556	5244.141	0.010413271	delete
d33	саша_3	19.05914	11.208847	5466.797	0.016097385	delete
d33	саша_cf	18.97064	10.107813	5384.766	0.015102468	delete
d33	сэндвич_1	18.6512	11.97391	5097.656	0.012036797	delete
d33	сэндвич_2	18.91953	11.981716	5337.891	0.017374566	delete
d33	сэндвич_3	18.62443	11.956938	5074.219	0.017733577	delete
d33	сэндвич_cf	18.92594	8.519333	5343.75	0.012440273	delete
d33	сэр_1	19.41936	10.953191	5812.5	0.014706573	delete
d33	сэр_2	19.35072	10.347176	5745.117	0.011974672	delete
d33	сэр_3	19.21731	10.408835	5616.211	0.014001257	delete
d33	сэр_cf	19.02135	11.356219	5431.641	0.01599179	delete
d44	волосы_1	19.30529	1.3630439	5700.916	0.0016549971	delete
d44	волосы_2	19.55571	2.0322301	5948.547	0.002026879	delete
d44	волосы_3	19.92811	1.0607808	1857.239	0.0143136545	delete
d44	волосы_4	19.63523	4.6351381	5996.997	0.0024832756	delete
d44	глясе_1	19.8372	5.8190942	5996.997	0.0018091944	delete
d44	глясе_2	19.85752	2.6332103	5996.997	0.0020592186	delete
d44	глясе_3	18.99822	1.5383067	5410.217	0.0020616473	delete
d44	глясе_4	19.32192	6.7685552	5717.065	0.0021015975	delete
d44	колбаса_1	19.93312	1.4978073	5996.997	0.0018772753	delete
d44	колбаса_2	16.61687	6.5438419	3574.512	0.0128925409	delete
d44	колбаса_3	19.79633	1.5427526	3472.229	0.0038510053	delete
d44	колбаса_4	19.99784	2.2355512	5523.267	0.003290629	delete
d44	коса_1	17.99369	3.0117307	4548.889	0.0035440239	
d44	коса_2	19.2886	2.9994776	5684.766	0.0044150024	
d44	коса_3	19.89797	2.4842448	5996.997	0.0028470371	
d44	коса_4	19.62469	1.6247524	5996.997	0.0020109739	
d44	осанка_1	19.69811	1.2530654	3746.777	0.0102015945	
d44	осанка_2	19.77064	2.4445298	5996.997	0.0033207763	
d44	осанка_3	19.70332	4.0467253	5996.997	0.0044424504	
d44	осанка_4	19.54503	2.8422434	5937.781	0.0032175743	
d44	посад_1	19.7912	2.2285805	5996.997	0.0029754209	delete
d44	посад_2	16.54742	7.3883664	3531.445	0.005035485	delete
d44	посад_3	19.99784	1.7372152	4188.208	0.0043227626	delete
d44	посад_4	19.99288	2.7749796	5996.997	0.0033862202	delete
d44	савва_1	19.55571	2.2249929	5948.547	0.0034693139	delete
d44	савва_2	19.7912	0.574932	4801.904	0.0019993469	delete
d44	савва_3	19.61412	2.7476537	5996.997	0.0034799946	delete
d44	савва_4	18.98657	3.7070712	5399.451	0.0059032215	delete
d44	санки_1	19.80145	2.8019286	5996.997	0.002708251	delete
d44	санки_2	19.39352	1.8540715	5787.048	0.0028791036	delete
d44	санки_3	19.99784	2.1098233	5996.997	0.0024255507	delete
d44	санки_4	19.66151	2.5513873	5996.997	0.0025448376	delete
d44	сахар_1	19.71372	3.477379	5996.997	0.0034869829	
d44	сахар_2	19.94812	2.9062499	5996.997	0.0029620309	
d44	сахар_3	19.99784	3.0442669	5996.997	0.0029687221	
d44	сахар_4	19.99784	2.4925508	5996.997	0.0026693919	
d44	саша_1	18.16784	3.6390714	4688.855	0.0036555131	delete
d44	саша_2	19.34404	4.9612463	5738.599	0.005339571	delete
d44	саша_3	19.49673	4.9937775	5889.331	0.0073472701	delete
d44	саша_4	19.8372	2.4107482	5996.997	0.0031202716	delete
d44	сэконд-хэнд_1	19.99784	6.0707901	5996.997	0.000601543	delete
d44	сэконд-хэнд_2	19.99784	1.4214575	5996.997	0.0009085073	delete
d44	сэконд-хэнд_3	19.99784	2.6622423	5900.098	0.0022469744	delete
d44	сэконд-хэнд_4	19.99784	2.9881511	2094.104	0.0096289942	delete
d44	сэндвич_1	19.76549	0.8705903	5996.997	0.0013301305	delete
d44	сэндвич_2	19.99784	0.8799696	4182.825	0.0066794384	delete
d44	сэндвич_3	19.84229	2.406807	5996.997	0.0018402987	delete
d44	сэндвич_4	19.7293	1.7028127	5996.997	0.0022237638	delete
d44	сэр_1	19.79633	2.5128149	5996.997	0.0023372377	delete
d44	сэр_2	16.05256	6.5390479	3240.747	0.0063440959	delete
d44	сэр_3	19.84737	4.2471474	5996.997	0.0047992234	delete
d44	сэр_4	19.48595	3.2304055	5878.564	0.0035628471	delete
d44	часа_1	17.68037	2.5390006	4306.641	0.0040078484	delete
d44	часа_2	19.75	1.1848835	4355.09	0.0039330784	delete
d44	часа_3	19.7912	0.8991021	5996.997	0.0018190673	delete
d44	часа_4	19.99784	1.7419194	5996.997	0.0019689161	delete
d45	ħisap_1	21.7448	4.483712	8724.609	0.004003959	
d45	ħisap_2	21.66967	4.136572	8601.562	0.003687658	
d45	ħisap_3	21.69132	4.864173	8636.719	0.004443784	
d45	ħisap_cf	21.66967	5.469269	8601.562	0.005038854	
d45	nəsɐ_1	20.49029	6.687813	6972.656	0.006588598	delete
d45	nəsɐ_2	20.48539	8.225157	6966.797	0.008565414	delete
d45	nəsɐ_3	20.51473	8.318478	7001.953	0.008766156	delete
d45	nəsɐ_cf	20.50497	7.075478	6990.234	0.007311884	delete
d45	qjəsədzjə_1	21.51766	6.759975	8361.328	0.006285458	delete
d45	qjəsədzjə_2	20.37124	10.173519	6832.031	0.011354291	delete
d45	qjəsədzjə_3	19.17118	14.52753	5572.266	0.018703809	delete
d45	qjəsədzjə_cf	21.56289	5.800316	8431.641	0.005204745	delete
d45	sabəj_1	21.99866	4.946742	6744.141	0.010947877	
d45	sabəj_2	21.99866	6.233248	8994.141	0.005381356	
d45	sabəj_3	21.99541	5.843754	8994.141	0.004894865	
d45	sabəj_cf	21.99866	5.545542	8994.141	0.004631739	
d45	sabəjə_1	21.31845	6.444303	8062.5	0.00612225	
d45	sabəjə_2	21.29425	6.257674	8027.344	0.006024064	
d45	sabəjə_3	21.91649	5.15938	8994.141	0.00449843	
d45	sabəjə_cf	19.66383	8.420001	6058.594	0.009859141	
d45	sapɐ_1	21.66967	5.8874	8601.562	0.00556761	
d45	sapɐ_2	20.44351	6.23464	6916.992	0.006852042	
d45	sapɐ_3	20.48294	4.480828	6963.867	0.004718367	
d45	sapɐ_4	20.50497	6.406705	6990.234	0.007070793	
d45	sɐŝ'ə_1	21.48334	5.93495	8308.594	0.005673186	delete
d45	sɐŝ'ə_2	21.53092	6.276131	8381.836	0.00610313	delete
d45	sɐŝ'ə_3	21.42144	6.387596	8214.844	0.002506506	delete
d45	sɐŝ'ə_cf	21.56476	6.993756	8434.57	0.006789254	delete
d45	sɐχɐ_1	21.67871	5.998869	8616.211	0.005416553	delete
d45	sɐχɐ_2	21.67329	6.398361	8607.422	0.005997667	delete
d45	sɐχɐ_3	21.62958	6.140848	8537.109	0.005492134	delete
d45	sɐχɐ_cf	21.73595	6.403037	8709.961	0.005860421	delete
d45	səʒɐ_1	21.48142	7.341219	8305.664	0.006837692	delete
d45	səʒɐ_2	20.47557	8.164376	6955.078	0.008464878	delete
d45	səʒɐ_3	21.42729	6.289091	8223.633	0.005687725	delete
d45	səʒɐ_cf	21.46218	5.796796	8276.367	0.004999671	delete
d46	ħisap_1	20.71051	8.783856	7242.188	0.009256192	
d46	ħisap_2	20.69646	7.210725	7224.609	0.007734797	
d46	ħisap_3	20.64459	6.132891	7160.156	0.006623644	
d46	ħisap_cf	20.71518	7.888243	7248.047	0.008189628	
d46	nəsɐ_1	20.56807	10.474183	7066.406	0.010753675	delete
d46	nəsɐ_2	20.60888	10.112018	7116.211	0.01066026	delete
d46	nəsɐ_3	20.58972	10.594128	7092.773	0.011083774	delete
d46	nəsɐ_cf	20.61365	10.275616	7122.07	0.01090742	delete
d46	qjəsədzjə_1	20.6706	7.66676	7192.383	0.007887512	delete
d46	qjəsədzjə_2	20.62796	7.029847	7139.648	0.007202859	delete
d46	qjəsədzjə_3	20.56566	7.565642	7063.477	0.007890467	delete
d46	qjəsədzjə_cf	20.68708	6.963494	7998.047	0.005968142	delete
d46	sabəj_1	20.73847	9.710557	7277.344	0.010514889	
d46	sabəj_2	20.68237	7.602834	7207.031	0.008168851	
d46	sabəj_3	20.69177	8.171631	7218.75	0.008508512	
d46	sabəj_cf	20.74311	9.248527	7283.203	0.009862731	
d46	sabəjə_1	20.99983	7.616451	7652.344	0.007496597	
d46	sabəjə_2	19.89876	9.207605	6304.688	0.010454027	
d46	sabəjə_3	20.93378	5.971939	7529.297	0.00612112	
d46	sabəjə_cf	20.78928	8.346223	7341.797	0.008777398	
d46	sapɐ_1	20.83723	7.679641	7403.32	0.0080627	
d46	sapɐ_2	20.55842	8.074592	7054.688	0.008627744	
d46	sapɐ_3	20.85762	7.454931	7429.688	0.007784279	
d46	sapɐ_cf	20.70583	7.184621	7236.328	0.007644095	
d46	sɐɕɐ_1	20.26982	9.782592	6714.844	0.010826738	delete
d46	sɐɕɐ_2	20.18722	9.631688	6621.094	0.010594283	delete
d46	sɐɕɐ_3	20.17941	7.852178	6612.305	0.008544465	delete
